Refresh_Rate,Brightness,Brightness_Percent,Screen_Power,Power_Ratio
60,0.5,50,0.72,1.6666666666666665
60,0.6,60,0.864,2.0
60,0.7,70,1.0079999999999998,2.333333333333333
60,0.8,80,1.152,2.6666666666666665
60,0.9,90,1.296,3.0
70,0.5,50,0.8400000000000001,1.9444444444444446
70,0.6,60,1.008,2.3333333333333335
70,0.7,70,1.1759999999999997,2.7222222222222214
70,0.8,80,1.344,3.111111111111111
70,0.9,90,1.5120000000000002,3.5000000000000004
80,0.5,50,0.96,2.2222222222222223
80,0.6,60,1.152,2.6666666666666665
80,0.7,70,1.3439999999999999,3.1111111111111107
80,0.8,80,1.536,3.555555555555556
80,0.9,90,1.7280000000000002,4.000000000000001
90,0.5,50,1.08,2.5
90,0.6,60,1.296,3.0
90,0.7,70,1.5119999999999998,3.4999999999999996
90,0.8,80,1.728,4.0
90,0.9,90,1.944,4.5
100,0.5,50,1.2,2.7777777777777777
100,0.6,60,1.44,3.333333333333333
100,0.7,70,1.68,3.888888888888889
100,0.8,80,1.92,4.444444444444445
100,0.9,90,2.16,5.0
110,0.5,50,1.32,3.055555555555556
110,0.6,60,1.584,3.666666666666667
110,0.7,70,1.8479999999999996,4.277777777777777
110,0.8,80,2.112,4.888888888888889
110,0.9,90,2.3760000000000003,5.500000000000001
120,0.5,50,1.44,3.333333333333333
120,0.6,60,1.728,4.0
120,0.7,70,2.0159999999999996,4.666666666666666
120,0.8,80,2.304,5.333333333333333
120,0.9,90,2.592,6.0
